shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR_KobeLine,34.642286,135.112913,1　///須磨駅
JR_KobeLine,34.643215, 135.118168,2
JR_KobeLine,34.643314, 135.118594,3
JR_KobeLine,34.643748, 135.120095,4
JR_KobeLine,34.647224, 135.126602,5 ///須磨海浜公園駅
JR_KobeLine,34.649110, 135.130898,6
JR_KobeLine,34.651417, 135.135377,7 ///鷹取駅
JR_KobeLine,34.652522, 135.136890,8
JR_KobeLine,34.654537, 135.139711,9
JR_KobeLine,34.657562, 135.145164,10 ///新長田駅
JR_KobeLine,34.657889, 135.145959,11
JR_KobeLine,34.659315, 135.148181,12
JR_KobeLine,34.668237, 135.164895,13 ///兵庫駅
JR_KobeLine,34.669355, 135.166771,14
JR_KobeLine,34.670621, 135.168260,15
JR_KobeLine,34.674772, 135.175794,16
JR_KobeLine,34.675897, 135.177140,17
JR_KobeLine,34.677237, 135.177989,18
JR_KobeLine,34.679452, 135.178196,19 ///神戸駅
JR_KobeLine,34.677237, 135.177989,20
JR_KobeLine,34.682850, 135.178599,21
JR_KobeLine,34.683664, 135.178935,22
JR_KobeLine,34.684835, 135.179951
,23
JR_KobeLine,34.687976, 135.183767,24
JR_KobeLine,34.688779, 135.185054,25
JR_KobeLine,34.689595, 135.187295,26 ///元町駅
JR_KobeLine,34.692968, 135.193099,27
JR_KobeLine,34.694158, 135.194402,28 ///三ノ宮駅
JR_KobeLine,34.698123, 135.198590,29
JR_KobeLine,34.702802, 135.205272,30
JR_KobeLine,34.703892, 135.207600,31
JR_KobeLine,34.705774, 135.216189,32 ///灘駅
JR_KobeLine,34.708706, 135.225037,33 ///摩耶駅
JR_KobeLine,34.710398, 135.229974,34
JR_KobeLine,34.712872, 135.235469,35
JR_KobeLine,34.714706, 135.238251,36 ///六甲道駅
JR_KobeLine,34.717703, 135.242818,37
JR_KobeLine,34.719214, 135.248880,38
JR_KobeLine,34.719407, 135.250258,39
JR_KobeLine,34.719071, 135.259264,40
JR_KobeLine,34.719139, 135.260045,41
JR_KobeLine,34.719476, 135.262279,42 ///住吉駅

Hanshin_MainLine,34.662388, 135.144094,1 ///西代駅
Hanshin_MainLine,34.667296, 135.151715,2 ///高速長田駅
Hanshin_MainLine,34.667670, 135.152627,3
Hanshin_MainLine,34.667764, 135.153178,4
Hanshin_MainLine,34.668055, 135.157158,5
Hanshin_MainLine,34.671303, 135.161892,6 ///大開駅
Hanshin_MainLine,34.674883, 135.167102,7
Hanshin_MainLine,34.676439, 135.170005,8 ///新開地駅
Hanshin_MainLine,34.676801, 135.170608,9
Hanshin_MainLine,34.676801, 135.170608,10
Hanshin_MainLine,34.677576, 135.171401,11
Hanshin_MainLine,34.679548, 135.175003,12 ///高速神戸駅
